Date,PG,DOW
1987-05-20,5.515625,2215.870117
1987-05-21,5.40625,2225.770020
1987-05-22,5.5,2243.199951
1987-05-26,5.773438,2297.939941
1987-05-27,5.710938,2295.810059
1987-05-28,5.78125,2310.679932
1987-05-29,5.71875,2291.570068
1987-06-01,5.75,2288.229980
1987-06-02,5.765625,2278.219971
1987-06-03,5.84375,2320.689941
1987-06-04,5.828125,2337.080078
1987-06-05,5.773438,2326.149902
1987-06-08,5.875,2351.639893
1987-06-09,5.859375,2352.699951
1987-06-10,5.960938,2353.610107
1987-06-11,5.976563,2360.129883
1987-06-12,6.125,2377.729980
1987-06-15,6.140625,2391.540039
1987-06-16,6.210938,2407.350098
1987-06-17,6.085938,2407.350098
1987-06-18,6.054688,2408.129883
1987-06-19,6.0625,2420.850098
1987-06-22,6.164063,2445.510010
1987-06-23,6.164063,2439.729980
1987-06-24,6.140625,2428.409912
1987-06-25,6.1875,2451.050049
1987-06-26,6.070313,2436.860107
1987-06-29,6.125,2446.909912
1987-06-30,6.125,2418.530029
1987-07-01,5.992188,2409.760010
1987-07-02,6.007813,2436.699951
1987-07-06,5.992188,2429.530029
1987-07-07,6.039063,2449.780029
1987-07-08,5.929688,2463.969971
1987-07-09,5.90625,2451.209961
1987-07-10,5.875,2455.989990
1987-07-13,5.90625,2452.969971
1987-07-14,5.976563,2481.350098
1987-07-15,5.953125,2483.739990
1987-07-16,5.914063,2496.969971
1987-07-17,5.9375,2510.040039
1987-07-20,5.742188,2487.820068
1987-07-21,5.742188,2467.949951
1987-07-22,5.765625,2470.179932
1987-07-23,5.773438,2471.939941
1987-07-24,5.75,2485.330078
1987-07-27,5.695313,2493.939941
1987-07-28,5.71875,2519.770020
1987-07-29,5.765625,2539.540039
1987-07-30,5.8125,2567.439941
1987-07-31,5.820313,2572.070068
1987-08-03,5.703125,2557.080078
1987-08-04,5.78125,2546.719971
1987-08-05,5.9375,2566.649902
1987-08-06,6.101563,2594.229980
1987-08-07,6.046875,2592.000000
1987-08-10,6.078125,2635.840088
1987-08-11,6.148438,2680.479980
1987-08-12,6.210938,2669.320068
1987-08-13,6.3125,2691.489990
1987-08-14,6.359375,2685.429932
1987-08-17,6.375,2700.570068
1987-08-18,6.234375,2654.659912
1987-08-19,6.257813,2665.820068
1987-08-20,6.351563,2706.790039
1987-08-21,6.335938,2709.500000
1987-08-24,6.289063,2697.070068
1987-08-25,6.320313,2722.419922
1987-08-26,6.234375,2701.850098
1987-08-27,6.289063,2675.060059
1987-08-28,6.25,2639.350098
1987-08-31,6.40625,2662.949951
1987-09-01,6.15625,2610.969971
1987-09-02,6.164063,2602.040039
1987-09-03,6.09375,2599.489990
1987-09-04,5.984375,2561.379883
1987-09-08,5.960938,2545.120117
1987-09-09,5.96875,2549.270020
1987-09-10,6.0625,2576.050049
1987-09-11,6.15625,2608.739990
1987-09-14,6.242188,2613.040039
1987-09-15,6.164063,2566.580078
1987-09-16,6.03125,2530.189941
1987-09-17,6.046875,2527.899902
1987-09-18,6.0625,2524.639893
1987-09-21,5.984375,2492.820068
1987-09-22,6.1875,2568.050049
1987-09-23,6.203125,2585.669922
1987-09-24,6.179688,2566.419922
1987-09-25,6.164063,2570.169922
1987-09-28,6.28125,2601.500000
1987-09-29,6.359375,2590.570068
1987-09-30,6.3125,2596.280029
1987-10-01,6.335938,2639.199951
1987-10-02,6.296875,2640.989990
1987-10-05,6.46875,2640.179932
1987-10-06,6.21875,2548.629883
1987-10-07,6.234375,2551.080078
1987-10-08,6.164063,2516.639893
1987-10-09,6.078125,2482.209961
1987-10-12,6.09375,2471.439941
1987-10-13,6.171875,2508.159912
1987-10-14,5.875,2412.699951
1987-10-15,5.664063,2355.090088
1987-10-16,5.3125,2246.729980
1987-10-19,3.835938,1738.739990
1987-10-20,4.6875,1841.010010
1987-10-21,5.0625,2027.849976
1987-10-22,4.867188,1950.430054
1987-10-23,5.125,1950.760010
1987-10-26,4.96875,1793.930054
1987-10-27,5.101563,1846.489990
1987-10-28,5.023438,1846.819946
1987-10-29,5.328125,1938.329956
1987-10-30,5.515625,1993.530029
1987-11-02,5.429688,2014.089966
1987-11-03,5.3125,1963.530029
1987-11-04,5.3125,1945.290039
1987-11-05,5.4375,1985.410034
1987-11-06,5.320313,1959.050049
1987-11-09,5.234375,1900.199951
1987-11-10,5.179688,1878.150024
1987-11-11,5.304688,1899.199951
1987-11-12,5.515625,1960.209961
1987-11-13,5.359375,1935.010010
1987-11-16,5.375,1949.099976
1987-11-17,5.304688,1922.250000
1987-11-18,5.40625,1939.160034
1987-11-19,5.359375,1895.390015
1987-11-20,5.375,1913.630005
1987-11-23,5.40625,1923.079956
1987-11-24,5.476563,1963.530029
1987-11-25,5.367188,1946.949951
1987-11-27,5.289063,1910.479980
1987-11-30,5.085938,1833.550049
1987-12-01,5.109375,1842.339966
1987-12-02,5.117188,1848.969971
1987-12-03,4.828125,1776.530029
