Date,TRV,DOW
1987-05-20,720000,28500000
1987-05-21,1591600,20280000
1987-05-22,763600,14140000
1987-05-26,889200,21890000
1987-05-27,1178400,20170000
1987-05-28,634800,15610000
1987-05-29,283600,16040000
1987-06-01,1114000,15680000
1987-06-02,1190000,16740000
1987-06-03,740400,18030000
1987-06-04,217600,13840000
1987-06-05,1398800,14120000
1987-06-08,573200,13750000
1987-06-09,313200,16780000
1987-06-10,2366000,23320000
1987-06-11,1116800,17390000
1987-06-12,642400,19610000
1987-06-15,1206400,18160000
1987-06-16,1667600,19090000
1987-06-17,978800,21560000
1987-06-18,1044000,19300000
1987-06-19,994800,33310000
1987-06-22,2228800,23430000
1987-06-23,1652800,26680000
1987-06-24,1055600,20730000
1987-06-25,328800,16770000
1987-06-26,322000,16440000
1987-06-29,321200,16890000
1987-06-30,1165600,21370000
1987-07-01,491600,18530000
1987-07-02,641200,17820000
1987-07-06,1012000,21380000
1987-07-07,474400,24930000
1987-07-08,1312400,25010000
1987-07-09,1502800,18360000
1987-07-10,647600,21150000
1987-07-13,792800,21050000
1987-07-14,577200,24400000
1987-07-15,396800,25820000
1987-07-16,175200,29670000
1987-07-17,462400,32120000
1987-07-20,191600,16540000
1987-07-21,1431600,21470000
1987-07-22,866800,20330000
1987-07-23,432000,19080000
1987-07-24,1572800,15620000
1987-07-27,87200,14200000
1987-07-28,730800,27680000
1987-07-29,598000,27380000
1987-07-30,2260800,27200000
1987-07-31,2202800,20980000
1987-08-03,1688800,21750000
1987-08-04,781200,19280000
1987-08-05,644000,24970000
1987-08-06,892400,26900000
1987-08-07,915600,24460000
1987-08-10,1734800,21550000
1987-08-11,1209200,40090000
1987-08-12,1143600,34210000
1987-08-13,1638000,27490000
1987-08-14,1554800,23050000
1987-08-17,6160000,21280000
1987-08-18,3850400,28780000
1987-08-19,1433600,20850000
1987-08-20,1606400,23480000
1987-08-21,1128000,27760000
1987-08-24,1207600,18920000
1987-08-25,1336000,22900000
1987-08-26,1336000,22460000
1987-08-27,474800,19460000
1987-08-28,1252800,16750000
1987-08-31,1424000,19290000
1987-09-01,1565600,21360000
1987-09-02,2183600,30630000
1987-09-03,1746400,22920000
1987-09-04,672800,14980000
1987-09-08,1245600,31810000
1987-09-09,897200,23540000
1987-09-10,801600,23530000
1987-09-11,656400,21670000
1987-09-14,699200,15950000
1987-09-15,299600,14930000
1987-09-16,650000,21890000
1987-09-17,540400,19350000
1987-09-18,270800,23550000
1987-09-21,644400,22050000
1987-09-22,1605200,25650000
1987-09-23,1025600,30450000
1987-09-24,473200,16900000
