Date,UNH,DOW
1987-05-20,0.183594,2215.870117
1987-05-21,0.183594,2225.770020
1987-05-22,0.183594,2243.199951
1987-05-26,0.1875,2297.939941
1987-05-27,0.183594,2295.810059
1987-05-28,0.183594,2310.679932
1987-05-29,0.175781,2291.570068
1987-06-01,0.183594,2288.229980
1987-06-02,0.183594,2278.219971
1987-06-03,0.191406,2320.689941
1987-06-04,0.195313,2337.080078
1987-06-05,0.183594,2326.149902
1987-06-08,0.1875,2351.639893
1987-06-09,0.183594,2352.699951
1987-06-10,0.183594,2353.610107
1987-06-11,0.183594,2360.129883
1987-06-12,0.183594,2377.729980
1987-06-15,0.179688,2391.540039
1987-06-16,0.183594,2407.350098
1987-06-17,0.175781,2407.350098
1987-06-18,0.183594,2408.129883
1987-06-19,0.183594,2420.850098
1987-06-22,0.191406,2445.510010
1987-06-23,0.191406,2439.729980
1987-06-24,0.210938,2428.409912
1987-06-25,0.21875,2451.050049
1987-06-26,0.214844,2436.860107
1987-06-29,0.207031,2446.909912
1987-06-30,0.207031,2418.530029
1987-07-01,0.210938,2409.760010
1987-07-02,0.207031,2436.699951
1987-07-06,0.195313,2429.530029
1987-07-07,0.191406,2449.780029
1987-07-08,0.195313,2463.969971
1987-07-09,0.175781,2451.209961
1987-07-10,0.179688,2455.989990
1987-07-13,0.1875,2452.969971
1987-07-14,0.1875,2481.350098
1987-07-15,0.1875,2483.739990
1987-07-16,0.191406,2496.969971
1987-07-17,0.191406,2510.040039
1987-07-20,0.195313,2487.820068
1987-07-21,0.183594,2467.949951
1987-07-22,0.175781,2470.179932
1987-07-23,0.179688,2471.939941
1987-07-24,0.175781,2485.330078
1987-07-27,0.183594,2493.939941
1987-07-28,0.179688,2519.770020
1987-07-29,0.179688,2539.540039
1987-07-30,0.179688,2567.439941
1987-07-31,0.183594,2572.070068
1987-08-03,0.175781,2557.080078
1987-08-04,0.175781,2546.719971
1987-08-05,0.171875,2566.649902
1987-08-06,0.167969,2594.229980
1987-08-07,0.164063,2592.000000
1987-08-10,0.160156,2635.840088
1987-08-11,0.160156,2680.479980
1987-08-12,0.164063,2669.320068
1987-08-13,0.167969,2691.489990
1987-08-14,0.160156,2685.429932
1987-08-17,0.160156,2700.570068
1987-08-18,0.160156,2654.659912
1987-08-19,0.160156,2665.820068
