Date,Volume,Volume
1987-05-20,3239200,28500000
1987-05-21,2871200,20280000
1987-05-22,2096800,14140000
1987-05-26,1922400,21890000
1987-05-27,1700800,20170000
1987-05-28,1804000,15610000
1987-05-29,3140000,16040000
1987-06-01,2156800,15680000
1987-06-02,2347200,16740000
1987-06-03,2144000,18030000
1987-06-04,1492000,13840000
1987-06-05,1952800,14120000
1987-06-08,1102400,13750000
1987-06-09,2455200,16780000
1987-06-10,2664000,23320000
1987-06-11,3902400,17390000
1987-06-12,3187200,19610000
1987-06-15,1624000,18160000
1987-06-16,1866400,19090000
1987-06-17,1921600,21560000
1987-06-18,1317600,19300000
1987-06-19,2976000,33310000
1987-06-22,1814400,23430000
1987-06-23,2129600,26680000
1987-06-24,2056000,20730000
1987-06-25,2718400,16770000
1987-06-26,1706400,16440000
1987-06-29,4058400,16890000
1987-06-30,9680000,21370000
1987-07-01,6773600,18530000
1987-07-02,4163200,17820000
1987-07-06,4954400,21380000
1987-07-07,4693600,24930000
1987-07-08,2329600,25010000
1987-07-09,2638400,18360000
1987-07-10,1626400,21150000
1987-07-13,2852800,21050000
1987-07-14,2281600,24400000
1987-07-15,4962400,25820000
1987-07-16,2624800,29670000
1987-07-17,6967200,32120000
1987-07-20,2364800,16540000
1987-07-21,3456800,21470000
1987-07-22,1902400,20330000
1987-07-23,4360000,19080000
1987-07-24,1445600,15620000
1987-07-27,2896800,14200000
1987-07-28,5393600,27680000
1987-07-29,2388800,27380000
1987-07-30,4396000,27200000
1987-07-31,7578400,20980000
1987-08-03,3919200,21750000
1987-08-04,3761600,19280000
1987-08-05,4316800,24970000
1987-08-06,2993600,26900000
1987-08-07,2946400,24460000
1987-08-10,3213600,21550000
1987-08-11,5428000,40090000
1987-08-12,2835200,34210000
1987-08-13,5087200,27490000
1987-08-14,7732000,23050000
1987-08-17,8080000,21280000
1987-08-18,5283200,28780000
1987-08-19,3779200,20850000
1987-08-20,7835200,23480000
1987-08-21,3369600,27760000
1987-08-24,2418400,18920000
1987-08-25,4426400,22900000
1987-08-26,3949600,22460000
1987-08-27,2807200,19460000
1987-08-28,2207200,16750000
1987-08-31,1384800,19290000
1987-09-01,2354400,21360000
1987-09-02,4128800,30630000
1987-09-03,3282400,22920000
1987-09-04,1349600,14980000
1987-09-08,3235200,31810000
1987-09-09,3869600,23540000
1987-09-10,2066400,23530000
1987-09-11,1677600,21670000
1987-09-14,1669600,15950000
1987-09-15,2278400,14930000
1987-09-16,2024000,21890000
1987-09-17,1916000,19350000
1987-09-18,2405600,23550000
1987-09-21,1808000,22050000
1987-09-22,3398400,25650000
1987-09-23,3435200,30450000
1987-09-24,2175200,16900000
1987-09-25,1061600,13760000
1987-09-28,5037600,26300000
1987-09-29,2536000,20650000
1987-09-30,3492800,23360000
1987-10-01,2088800,22200000
1987-10-02,3020000,17760000
1987-10-05,1685600,19000000
1987-10-06,2236800,24370000
1987-10-07,3629600,25850000
1987-10-08,2393600,21960000
1987-10-09,1878400,20730000
1987-10-12,2562400,19850000
1987-10-13,3602400,24890000
1987-10-14,2444000,29730000
1987-10-15,6851200,38070000
1987-10-16,5515200,57270000
1987-10-19,8122400,87230000
1987-10-20,7726400,91240000
1987-10-21,14245600,62980000
1987-10-22,8109600,54270000
1987-10-23,6312800,34140000
1987-10-26,5199200,35420000
1987-10-27,5292000,32200000
1987-10-28,5234400,38060000
1987-10-29,6468000,32390000
1987-10-30,9360000,39640000
1987-11-02,3637600,23530000
1987-11-03,3954400,27340000
1987-11-04,3016000,25600000
1987-11-05,5609600,29880000
1987-11-06,5384800,23250000
1987-11-09,4414400,21960000
1987-11-10,5031200,24260000
1987-11-11,2996000,17140000
1987-11-12,5017600,28590000
1987-11-13,3600000,17070000
1987-11-16,2648000,16930000
