Date,V,DOW
2008-03-19,708486000,328460000
2008-03-20,198985200,502650000
2008-03-24,149566400,264320000
2008-03-25,87092000,237650000
2008-03-26,43111600,235020000
2008-03-27,39829600,235390000
2008-03-28,24675200,209000000
2008-03-31,22157200,273610000
2008-04-01,60410800,295530000
2008-04-02,43836400,232760000
2008-04-03,100868000,183870000
2008-04-04,36394400,181260000
2008-04-07,28301600,198070000
2008-04-08,53925600,197200000
2008-04-09,48324400,194950000
2008-04-10,22372000,227330000
2008-04-11,26421600,286850000
2008-04-14,28443600,216010000
2008-04-15,23888000,208950000
2008-04-16,25136800,269490000
2008-04-17,22459600,217000000
2008-04-18,104099600,304030000
2008-04-21,58848000,192400000
2008-04-22,47357600,214950000
2008-04-23,37319600,244120000
2008-04-24,38086800,249920000
2008-04-25,101460000,240760000
2008-04-28,132517200,222300000
2008-04-29,197308400,218020000
2008-04-30,147543600,255070000
2008-05-01,116395600,245480000
2008-05-02,136648800,205410000
2008-05-05,70377200,197810000
2008-05-06,75913200,199370000
2008-05-07,100464800,235000000
2008-05-08,92836400,195570000
2008-05-09,94312000,180240000
2008-05-12,147471600,198110000
2008-05-13,53249600,236710000
2008-05-14,51400400,206820000
2008-05-15,36688800,217780000
2008-05-16,34066800,249260000
2008-05-19,45473200,193770000
2008-05-20,40702000,265220000
2008-05-21,41831600,265810000
2008-05-22,85283600,216360000
2008-05-23,42196400,190210000
2008-05-27,62776400,201530000
2008-05-28,52996000,213680000
2008-05-29,100613200,206420000
2008-05-30,72016000,210230000
2008-06-02,36856000,199090000
2008-06-03,48411600,227460000
2008-06-04,40684400,238590000
2008-06-05,27059600,236160000
2008-06-06,41748000,307820000
2008-06-09,45240000,266350000
2008-06-10,36048400,240760000
2008-06-11,56996400,247120000
2008-06-12,44605600,260960000
2008-06-13,30689200,247980000
2008-06-16,34384000,222140000
2008-06-17,33277600,174690000
2008-06-18,33724000,212900000
2008-06-19,36925200,230920000
2008-06-20,42546800,429700000
2008-06-23,30141200,182870000
2008-06-24,49891200,225270000
2008-06-25,50711600,236160000
2008-06-26,76562800,302550000
2008-06-27,176022800,338250000
2008-06-30,49301200,282210000
2008-07-01,44921600,299590000
2008-07-02,33804000,230690000
2008-07-03,28738800,176910000
2008-07-07,79944400,248240000
2008-07-08,95796400,271500000
2008-07-09,55322000,227100000
2008-07-10,52812000,248010000
2008-07-11,54645200,275010000
2008-07-14,42679600,205360000
2008-07-15,84268800,331390000
2008-07-16,92448800,307590000
2008-07-17,67268800,335260000
2008-07-18,46632000,378610000
2008-07-21,52937200,212850000
2008-07-22,65408000,273690000
2008-07-23,49942800,264520000
2008-07-24,36625600,241140000
2008-07-25,38690800,190920000
2008-07-28,35699200,197550000
2008-07-29,49040400,206930000
2008-07-30,76089200,208520000
2008-07-31,148888800,220200000
2008-08-01,61715600,189700000
2008-08-04,42686000,170250000
2008-08-05,34354800,234990000
2008-08-06,40924000,180060000
2008-08-07,43847200,229610000
2008-08-08,36354400,212830000
2008-08-11,55289200,183190000
2008-08-12,33734400,173590000
2008-08-13,29924800,182550000
2008-08-14,25839200,159790000
2008-08-15,26003200,215040000
2008-08-18,25850400,156290000
2008-08-19,21104800,171580000
2008-08-20,18118800,144880000
2008-08-21,15544800,130020000
2008-08-22,20955600,138790000
2008-08-25,18039600,148610000
2008-08-26,18667200,119800000
2008-08-27,19141600,120580000
2008-08-28,26741200,149150000
2008-08-29,19326400,166910000
2008-09-02,29898400,177090000
2008-09-03,35400800,174250000
2008-09-04,37670000,229200000
2008-09-05,40616800,198300000
