Date,VZ,DOW
1987-05-20,13.967607,2215.870117
1987-05-21,13.827087,2225.770020
1987-05-22,14.164333,2243.199951
1987-05-26,14.445372,2297.939941
1987-05-27,14.72641,2295.810059
1987-05-28,14.782618,2310.679932
1987-05-29,15.007448,2291.570068
1987-06-01,15.09176,2288.229980
1987-06-02,15.007448,2278.219971
1987-06-03,15.232279,2320.689941
1987-06-04,15.232279,2337.080078
1987-06-05,15.260383,2326.149902
1987-06-08,15.31659,2351.639893
1987-06-09,15.119864,2352.699951
1987-06-10,15.204175,2353.610107
1987-06-11,15.260383,2360.129883
1987-06-12,15.513317,2377.729980
1987-06-15,15.710045,2391.540039
1987-06-16,15.934875,2407.350098
1987-06-17,15.82246,2407.350098
1987-06-18,15.794356,2408.129883
1987-06-19,16.019186,2420.850098
1987-06-22,16.187809,2445.510010
1987-06-23,16.047291,2439.729980
1987-06-24,15.653837,2428.409912
1987-06-25,15.766253,2451.050049
1987-06-26,15.653837,2436.860107
1987-06-29,15.653837,2446.909912
1987-06-30,15.31659,2418.530029
1987-07-01,15.344694,2409.760010
1987-07-02,15.372798,2436.699951
1987-07-06,15.288486,2429.530029
1987-07-07,15.400902,2449.780029
1987-07-08,15.232279,2463.969971
1987-07-09,15.063656,2451.209961
1987-07-10,15.147967,2455.989990
1987-07-13,14.866929,2452.969971
1987-07-14,14.979344,2481.350098
1987-07-15,14.72641,2483.739990
1987-07-16,14.838825,2496.969971
1987-07-17,14.979344,2510.040039
1987-07-20,14.895033,2487.820068
1987-07-21,14.72641,2467.949951
1987-07-22,14.642098,2470.179932
1987-07-23,14.585891,2471.939941
1987-07-24,14.72641,2485.330078
1987-07-27,14.923137,2493.939941
1987-07-28,15.007448,2519.770020
1987-07-29,15.176071,2539.540039
1987-07-30,15.31659,2567.439941
1987-07-31,15.344694,2572.070068
1987-08-03,15.31659,2557.080078
1987-08-04,15.147967,2546.719971
1987-08-05,15.513317,2566.649902
1987-08-06,15.541421,2594.229980
1987-08-07,15.962979,2592.000000
1987-08-10,16.384537,2635.840088
1987-08-11,16.890406,2680.479980
1987-08-12,16.665575,2669.320068
1987-08-13,16.721783,2691.489990
1987-08-14,16.721783,2685.429932
1987-08-17,16.974716,2700.570068
1987-08-18,16.862301,2654.659912
1987-08-19,16.834198,2665.820068
1987-08-20,17.059029,2706.790039
1987-08-21,17.171444,2709.500000
1987-08-24,17.087132,2697.070068
1987-08-25,17.311962,2722.419922
1987-08-26,17.255754,2701.850098
1987-08-27,16.946613,2675.060059
1987-08-28,16.581263,2639.350098
1987-08-31,16.974716,2662.949951
1987-09-01,16.63747,2610.969971
1987-09-02,16.525055,2602.040039
1987-09-03,16.384537,2599.489990
1987-09-04,16.581263,2561.379883
1987-09-08,16.41264,2545.120117
1987-09-09,16.609367,2549.270020
1987-09-10,16.525055,2576.050049
1987-09-11,16.665575,2608.739990
1987-09-14,16.834198,2613.040039
1987-09-15,16.749886,2566.580078
1987-09-16,16.77799,2530.189941
1987-09-17,16.890406,2527.899902
1987-09-18,16.77799,2524.639893
1987-09-21,16.834198,2492.820068
1987-09-22,17.480587,2568.050049
1987-09-23,17.789728,2585.669922
1987-09-24,17.311962,2566.419922
1987-09-25,17.761625,2570.169922
1987-09-28,17.564898,2601.500000
1987-09-29,17.396275,2590.570068
1987-09-30,17.227652,2596.280029
1987-10-01,17.452482,2639.199951
1987-10-02,17.36817,2640.989990
1987-10-05,17.283859,2640.179932
1987-10-06,17.255754,2548.629883
1987-10-07,17.115236,2551.080078
1987-10-08,17.087132,2516.639893
1987-10-09,17.115236,2482.209961
1987-10-12,17.115236,2471.439941
1987-10-13,17.705418,2508.159912
1987-10-14,17.480587,2412.699951
1987-10-15,17.311962,2355.090088
1987-10-16,16.496952,2246.729980
1987-10-19,13.602257,1738.739990
1987-10-20,15.513317,1841.010010
1987-10-21,16.41264,2027.849976
1987-10-22,16.384537,1950.430054
1987-10-23,16.806093,1950.760010
1987-10-26,16.244017,1793.930054
1987-10-27,16.300224,1846.489990
1987-10-28,15.962979,1846.819946
1987-10-29,16.159706,1938.329956
1987-10-30,16.215914,1993.530029
1987-11-02,16.356432,2014.089966
1987-11-03,16.384537,1963.530029
1987-11-04,16.384537,1945.290039
1987-11-05,16.468847,1985.410034
1987-11-06,16.272121,1959.050049
1987-11-09,15.878668,1900.199951
1987-11-10,15.625732,1878.150024
1987-11-11,15.597629,1899.199951
1987-11-12,15.878668,1960.209961
1987-11-13,15.597629,1935.010010
1987-11-16,15.597629,1949.099976
1987-11-17,15.457109,1922.250000
1987-11-18,15.429006,1939.160034
1987-11-19,15.31659,1895.390015
1987-11-20,15.513317,1913.630005
