Date,WMT,DOW
1987-05-20,3.328125,2215.870117
1987-05-21,3.453125,2225.770020
1987-05-22,3.492188,2243.199951
1987-05-26,3.5625,2297.939941
1987-05-27,3.59375,2295.810059
1987-05-28,3.601563,2310.679932
1987-05-29,3.65625,2291.570068
1987-06-01,3.671875,2288.229980
1987-06-02,3.65625,2278.219971
1987-06-03,3.773438,2320.689941
1987-06-04,3.921875,2337.080078
1987-06-05,3.835938,2326.149902
1987-06-08,3.882813,2351.639893
1987-06-09,3.898438,2352.699951
1987-06-10,3.9375,2353.610107
1987-06-11,3.976563,2360.129883
1987-06-12,3.992188,2377.729980
1987-06-15,4.046875,2391.540039
1987-06-16,4.085938,2407.350098
1987-06-17,4.085938,2407.350098
1987-06-18,4.132813,2408.129883
1987-06-19,4.234375,2420.850098
1987-06-22,4.3125,2445.510010
1987-06-23,4.328125,2439.729980
1987-06-24,4.171875,2428.409912
1987-06-25,4.25,2451.050049
1987-06-26,4.234375,2436.860107
1987-06-29,4.25,2446.909912
1987-06-30,4.226563,2418.530029
1987-07-01,4.1875,2409.760010
1987-07-02,4.265625,2436.699951
1987-07-06,4.234375,2429.530029
1987-07-07,4.265625,2449.780029
1987-07-08,4.242188,2463.969971
1987-07-09,4.171875,2451.209961
1987-07-10,4.164063,2455.989990
1987-07-13,4.25,2452.969971
1987-07-14,4.46875,2481.350098
1987-07-15,4.546875,2483.739990
1987-07-16,4.609375,2496.969971
1987-07-17,4.6875,2510.040039
1987-07-20,4.65625,2487.820068
1987-07-21,4.59375,2467.949951
1987-07-22,4.640625,2470.179932
1987-07-23,4.59375,2471.939941
1987-07-24,4.5,2485.330078
1987-07-27,4.609375,2493.939941
1987-07-28,4.578125,2519.770020
1987-07-29,4.546875,2539.540039
1987-07-30,4.59375,2567.439941
1987-07-31,4.65625,2572.070068
1987-08-03,4.65625,2557.080078
1987-08-04,4.625,2546.719971
1987-08-05,4.65625,2566.649902
1987-08-06,4.75,2594.229980
1987-08-07,4.875,2592.000000
1987-08-10,5.015625,2635.840088
1987-08-11,5.25,2680.479980
1987-08-12,5.234375,2669.320068
1987-08-13,5.21875,2691.489990
1987-08-14,5.21875,2685.429932
1987-08-17,5.25,2700.570068
1987-08-18,5.109375,2654.659912
1987-08-19,5.125,2665.820068
1987-08-20,5.25,2706.790039
1987-08-21,5.3125,2709.500000
1987-08-24,5.28125,2697.070068
1987-08-25,5.28125,2722.419922
1987-08-26,5.125,2701.850098
1987-08-27,5.078125,2675.060059
1987-08-28,4.96875,2639.350098
1987-08-31,5.0625,2662.949951
1987-09-01,4.9375,2610.969971
1987-09-02,4.96875,2602.040039
1987-09-03,4.90625,2599.489990
1987-09-04,4.828125,2561.379883
1987-09-08,4.78125,2545.120117
1987-09-09,4.765625,2549.270020
1987-09-10,4.703125,2576.050049
1987-09-11,4.84375,2608.739990
1987-09-14,4.90625,2613.040039
1987-09-15,4.78125,2566.580078
1987-09-16,4.6875,2530.189941
1987-09-17,4.640625,2527.899902
1987-09-18,4.609375,2524.639893
1987-09-21,4.390625,2492.820068
1987-09-22,4.546875,2568.050049
1987-09-23,4.6875,2585.669922
1987-09-24,4.734375,2566.419922
1987-09-25,4.71875,2570.169922
1987-09-28,4.84375,2601.500000
1987-09-29,4.765625,2590.570068
1987-09-30,4.734375,2596.280029
