Date,WBA,UNH,TRV,VZ,WMT,PG,UTX,DOW
1987-05-20,2432000,3350400,720000,1132700,10344000,9355200,3239200,28500000
1987-05-21,880000,2768000,1591600,1330600,9020800,6422400,2871200,20280000
1987-05-22,1017600,649600,763600,1146000,4995200,4569600,2096800,14140000
1987-05-26,4235200,67200,889200,1419100,3446400,7244800,1922400,21890000
1987-05-27,1259200,96000,1178400,1088700,5729600,4144000,1700800,20170000
1987-05-28,974400,1472000,634800,1019800,4825600,4998400,1804000,15610000
1987-05-29,1132800,2233600,283600,1692300,6832000,5990400,3140000,16040000
1987-06-01,705600,1376000,1114000,823100,5422400,7347200,2156800,15680000
1987-06-02,1019200,1465600,1190000,792900,6051200,7609600,2347200,16740000
1987-06-03,2116800,1440000,740400,1080100,8337600,5824000,2144000,18030000
1987-06-04,852800,5875200,217600,696000,10132800,5614400,1492000,13840000
1987-06-05,1057600,2115200,1398800,781300,11216000,3395200,1952800,14120000
1987-06-08,1308800,569600,573200,1131400,8056000,4675200,1102400,13750000
1987-06-09,1046400,262400,313200,984600,8593600,7451200,2455200,16780000
1987-06-10,4776000,1657600,2366000,1537900,11892800,10089600,2664000,23320000
1987-06-11,2308800,300800,1116800,1243000,6584000,10731200,3902400,17390000
1987-06-12,2708800,694400,642400,1436000,7894400,13424000,3187200,19610000
1987-06-15,1844800,400000,1206400,1207400,6481600,10833600,1624000,18160000
1987-06-16,1496000,918400,1667600,1720600,6476800,5316800,1866400,19090000
1987-06-17,1160000,368000,978800,680800,6750400,9123200,1921600,21560000
1987-06-18,2883200,2294400,1044000,670600,5310400,8153600,1317600,19300000
1987-06-19,3243200,1164800,994800,2339800,13488000,11569600,2976000,33310000
1987-06-22,2073600,1865600,2228800,1255400,10976000,8475200,1814400,23430000
1987-06-23,2448000,1120000,1652800,3168400,9921600,7257600,2129600,26680000
1987-06-24,1008000,1987200,1055600,2374500,6180800,3289600,2056000,20730000
1987-06-25,1361600,10368000,328800,2385200,6212800,5454400,2718400,16770000
1987-06-26,4979200,2195200,322000,648300,4448000,5148800,1706400,16440000
1987-06-29,2323200,1164800,321200,1464500,6809600,3612800,4058400,16890000
1987-06-30,2811200,1398400,1165600,578100,6560000,8428800,9680000,21370000
1987-07-01,2296000,4150400,491600,841800,4467200,3952000,6773600,18530000
1987-07-02,4280000,1472000,641200,614500,4260800,4364800,4163200,17820000
1987-07-06,1345600,2822400,1012000,1053900,6585600,6272000,4954400,21380000
1987-07-07,1008000,1491200,474400,1134500,7294400,5150400,4693600,24930000
1987-07-08,2600000,908800,1312400,958800,7614400,7523200,2329600,25010000
1987-07-09,515200,3110400,1502800,1738000,7430400,6998400,2638400,18360000
1987-07-10,1900800,1350400,647600,968600,8406400,5577600,1626400,21150000
1987-07-13,1089600,1376000,792800,994000,10400000,5956800,2852800,21050000
1987-07-14,1507200,611200,577200,597600,14560000,4448000,2281600,24400000
1987-07-15,2500800,265600,396800,603000,18400000,5161600,4962400,25820000
1987-07-16,1008000,2297600,175200,456200,11760000,3886400,2624800,29670000
1987-07-17,1283200,620800,462400,1542200,11840000,15217600,6967200,32120000
1987-07-20,1152000,361600,191600,1098400,7362400,6462400,2364800,16540000
1987-07-21,1414400,2444800,1431600,1346600,6844800,5395200,3456800,21470000
1987-07-22,475200,2396800,866800,748000,5923200,3659200,1902400,20330000
1987-07-23,776000,1571200,432000,1339600,8240000,2958400,4360000,19080000
1987-07-24,2350400,486400,1572800,884900,5230400,2316800,1445600,15620000
1987-07-27,1062400,656000,87200,1408500,4774400,3240000,2896800,14200000
1987-07-28,646400,1424000,730800,1647300,4127200,7132800,5393600,27680000
1987-07-29,3710400,928000,598000,2537800,5656800,7190400,2388800,27380000
1987-07-30,1574400,435200,2260800,1480100,5683200,9060800,4396000,27200000
1987-07-31,662400,166400,2202800,1856400,5490400,5880000,7578400,20980000
1987-08-03,1664000,1132800,1688800,1870600,6180800,7672000,3919200,21750000
1987-08-04,748800,448000,781200,1217600,4373600,7097600,3761600,19280000
1987-08-05,1435200,1484800,644000,1767300,5372000,11185600,4316800,24970000
1987-08-06,656000,1644800,892400,1187800,6016800,9278400,2993600,26900000
1987-08-07,902400,5136000,915600,1866200,8240000,8433600,2946400,24460000
1987-08-10,1200000,1609600,1734800,3168000,11280000,7880000,3213600,21550000
1987-08-11,1739200,2345600,1209200,3013600,17920000,13966400,5428000,40090000
1987-08-12,3680000,1340800,1143600,2292200,12640000,14382400,2835200,34210000
1987-08-13,1235200,1244800,1638000,1097100,11600000,10820800,5087200,27490000
1987-08-14,2147200,1251200,1554800,1690900,7491200,8084800,7732000,23050000
1987-08-17,1118400,2521600,6160000,1100600,6793600,7110400,8080000,21280000
1987-08-18,1913600,1248000,3850400,1273200,12480000,9875200,5283200,28780000
1987-08-19,1393600,982400,1433600,1065500,7503200,5748800,3779200,20850000
1987-08-20,1441600,2835200,1606400,1288800,7023200,8195200,7835200,23480000
1987-08-21,1510400,1168000,1128000,1934700,7130400,13481600,3369600,27760000
1987-08-24,984000,4950400,1207600,1695400,5907200,6019200,2418400,18920000
1987-08-25,1153600,7820800,1336000,976200,7054400,8644800,4426400,22900000
1987-08-26,2571200,9283200,1336000,716500,5210400,5337600,3949600,22460000
1987-08-27,609600,598400,474800,1065500,8560000,3520000,2807200,19460000
1987-08-28,2049600,3251200,1252800,1537900,9680000,4483200,2207200,16750000
1987-08-31,1347200,5104000,1424000,1360000,9120000,10001600,1384800,19290000
1987-09-01,1822400,3897600,1565600,2232600,6652800,11030400,2354400,21360000
1987-09-02,1817600,659200,2183600,1174000,7892000,10676800,4128800,30630000
1987-09-03,926400,1004800,1746400,1154100,7116800,6654400,3282400,22920000
1987-09-04,873600,1206400,672800,1501000,6301600,4168000,1349600,14980000
1987-09-08,1979200,12566400,1245600,1675700,14240000,9993600,3235200,31810000
1987-09-09,1358400,17936000,897200,1747800,6545600,7729600,3869600,23540000
1987-09-10,1254400,17622400,801600,2019200,7887200,7214400,2066400,23530000
1987-09-11,1614400,15801600,656400,1408000,5890400,7424000,1677600,21670000
1987-09-14,1582400,5024000,699200,824900,6348000,7724800,1669600,15950000
1987-09-15,1668800,3872000,299600,951200,4580800,4235200,2278400,14930000
1987-09-16,1134400,5417600,650000,1529400,7627200,8195200,2024000,21890000
1987-09-17,923200,6089600,540400,966700,5988800,8028800,1916000,19350000
1987-09-18,1009600,3507200,270800,2278800,8640000,8908800,2405600,23550000
1987-09-21,1289600,2416000,644400,1288800,17280000,7622400,1808000,22050000
1987-09-22,1827200,1507200,1605200,1361300,15600000,9182400,3398400,25650000
1987-09-23,1401600,873600,1025600,3007900,13040000,8006400,3435200,30450000
1987-09-24,796800,1334400,473200,4892400,4995200,3593600,2175200,16900000
1987-09-25,993600,777600,717200,2493300,3610400,5249600,1061600,13760000
1987-09-28,1740800,3468800,266000,2162800,6163200,9326400,5037600,26300000
1987-09-29,1668800,1299200,1216000,1398200,5708800,6585600,2536000,20650000
1987-09-30,2612800,4048000,310000,1364500,6772000,7905600,3492800,23360000
1987-10-01,1334400,476800,786400,1475700,3972000,7507200,2088800,22200000
1987-10-02,998400,1971200,492000,972600,4027200,4787200,3020000,17760000
1987-10-05,924800,617600,1660800,733700,4961600,5902400,1685600,19000000
1987-10-06,1118400,1676800,2045600,1158100,8640000,9880000,2236800,24370000
1987-10-07,1299200,1545600,2248400,903700,8560000,8289600,3629600,25850000
1987-10-08,3921600,3708800,3215600,1238000,10080000,6916800,2393600,21960000
1987-10-09,1500800,198400,2182400,1517800,11040000,5574400,1878400,20730000
1987-10-12,648000,854400,1076800,1807000,6789600,6172800,2562400,19850000
1987-10-13,683200,336000,1224000,1041100,8400000,10169600,3602400,24890000
1987-10-14,8307200,224000,5320000,1722900,8400000,11011200,2444000,29730000
1987-10-15,8193600,1939200,2453600,1743800,14080000,19694400,6851200,38070000
1987-10-16,4864000,492800,2022000,2189100,21233600,17912000,5515200,57270000
1987-10-19,9716800,2483200,1366400,4951200,34016800,25760000,8122400,87230000
1987-10-20,9100800,2646400,2075600,4317300,31432800,28676800,7726400,91240000
1987-10-21,5139200,5116800,1427600,3780000,24556000,19865600,14245600,62980000
1987-10-22,5244800,2640000,1498000,2904200,21271200,14929600,8109600,54270000
1987-10-23,1571200,3382400,1497200,2996400,13486400,17446400,6312800,34140000
1987-10-26,3659200,1529600,816000,1483200,14960000,7947200,5199200,35420000
1987-10-27,1830400,1782400,1046400,2777000,10000000,9660800,5292000,32200000
1987-10-28,4537600,1942400,1599600,1883400,10960000,9716800,5234400,38060000
1987-10-29,2208000,1228800,1320000,1540500,10960000,10678400,6468000,32390000
1987-10-30,2859200,1888000,1672000,3231100,10720000,12302400,9360000,39640000
1987-11-02,4110400,1712000,1370400,1513900,5222400,7497600,3637600,23530000
1987-11-03,3217600,1014400,2266800,1564100,6460000,7859200,3954400,27340000
1987-11-04,6609600,2416000,646000,1368900,5117600,11580800,3016000,25600000
1987-11-05,2460800,10099200,844400,2149500,8400000,10307200,5609600,29880000
1987-11-06,2864000,2400000,645200,1637600,8160000,5001600,5384800,23250000
1987-11-09,1467200,502400,492800,1043800,6384800,4440000,4414400,21960000
1987-11-10,2344000,1014400,570400,1199500,8880000,6854400,5031200,24260000
1987-11-11,1262400,2425600,644400,1160300,4126400,5460800,2996000,17140000
1987-11-12,803200,1008000,940800,1149600,8720000,8628800,5017600,28590000
1987-11-13,846400,339200,639600,860100,4576800,4136000,3600000,17070000
1987-11-16,1024000,2044800,356400,1029100,4853600,2814400,2648000,16930000
1987-11-17,2332800,4124800,1053600,1030300,4115200,3752000,4843200,22490000
1987-11-18,2091200,4060800,731600,1394300,9323200,6168000,4562400,18900000
1987-11-19,2299200,3308800,843600,1029100,8560000,4147200,4274400,20280000
1987-11-20,3113600,2614400,2161600,1598400,9440000,6832000,5116800,26080000
1987-11-23,1462400,5100800,1530000,924600,5917600,3395200,5863200,13530000
1987-11-24,1065600,3596800,2114000,798700,10787200,5385600,13392000,22070000
1987-11-25,1193600,3171200,874800,750100,20361600,3161600,8600800,16490000
1987-11-27,811200,3878400,1684400,687000,3608800,2043200,1315200,10500000
1987-11-30,4345600,7625600,1186000,2149000,19121600,8332800,4475200,30620000
1987-12-01,1707200,700800,1623600,1497000,8000000,4737600,2792000,18210000
1987-12-02,780800,3500800,1791200,868500,10856800,4721600,3583200,16280000
1987-12-03,2177600,2876800,403600,1469800,25999200,5849600,3945600,23440000
1987-12-04,1816000,873600,618400,1349300,17140800,6848000,3595200,23590000
1987-12-07,1307200,1856000,228400,1305200,9985600,4235200,2359200,16280000
1987-12-08,2968000,1004800,1367200,1830600,11668800,7756800,3162400,20620000
1987-12-09,1288000,1273600,333200,1175500,10240000,8488000,3626400,25980000
1987-12-10,2040000,1225600,842800,804000,9120000,6436800,3673600,26520000
1987-12-11,1804800,688000,502000,1035300,3770400,3705600,2896000,17750000
1987-12-14,1001600,1993600,253600,880500,7012000,4889600,3039200,24840000
1987-12-15,1830400,4083200,962800,1216300,9360000,6252800,4894400,28390000
1987-12-16,2006400,4531200,593200,1173500,7601600,6240000,3898400,23790000
1987-12-17,2420800,2198400,743200,1235400,8160000,4849600,3625600,23600000
1987-12-18,3628800,208000,909600,2525700,15440000,10104000,5021600,40310000
1987-12-21,872000,4070400,429600,997900,8080800,2494400,4291200,21680000
1987-12-22,2158400,3548800,448000,3478500,7712800,4940800,2580000,20630000
1987-12-23,1464000,6134400,4320000,10594500,9440000,3108800,3357600,22830000
1987-12-24,633600,1353600,148400,1386700,3642400,1318400,1403200,8080000
1987-12-28,657600,3628800,128800,3382300,5060000,2198400,2574400,13870000
1987-12-29,251200,4915200,300800,483300,3932000,2662400,2015200,9940000
1987-12-30,790400,4953600,1181200,1036600,5954400,3137600,4842400,15120000
1987-12-31,838400,7132800,498000,932100,8308800,4190400,3912000,15360000
1988-01-04,1137600,768000,1984800,1108700,7301600,4748800,2890400,20880000
1988-01-05,1796800,2227200,1197200,1732800,7952000,5433600,3494400,27200000
1988-01-06,1878400,368000,870000,831200,8560000,4632000,3651200,18800000
1988-01-07,1584000,1737600,1238000,1021100,5722400,4115200,2507200,21370000
1988-01-08,998400,1529600,2565600,1354200,9280000,6475200,3372000,27440000
1988-01-11,1747200,3020800,650400,1255400,8400000,5283200,2170400,23390000
1988-01-12,2736000,2640000,1299200,1764800,4536800,5448000,3144800,23610000
1988-01-13,1280000,1155200,2278400,1125100,4970400,7147200,2512800,24710000
1988-01-14,779200,768000,1189600,1087400,3500800,4244800,1883200,16650000
1988-01-15,1958400,3532800,988800,2111600,10000000,9168000,4527200,36570000
1988-01-18,729600,1100800,575200,764000,2893600,3139200,2138400,11700000
1988-01-19,844800,1801600,1447200,1213600,5501600,4542400,1605600,19160000
1988-01-20,1080000,1027200,1517600,978300,7028800,5600000,3388800,24070000
1988-01-21,1555200,1001600,1383600,713700,4686400,5024000,3297600,19420000
1988-01-22,1412800,3324800,1644400,938300,2885600,3475200,5729600,13440000
1988-01-25,2800000,1910400,973600,1362700,6290400,3416000,4564800,23050000
1988-01-26,1958400,1264000,1136000,985500,5599200,4921600,3355200,16720000
1988-01-27,2470400,1612800,2377200,1274200,4088800,8030400,3416000,23070000
1988-01-28,1780800,6966400,2754000,1592700,5448000,3750400,2588000,18430000
1988-01-29,2761600,1795200,1966400,1999500,4863200,4120000,2807200,23320000
1988-02-01,4643200,1238400,696400,2008500,4374400,3924800,2540000,35260000
1988-02-02,2011200,1545600,864400,776800,4436000,3544000,1888000,19600000
1988-02-03,1793600,1270400,1188000,1924800,5801600,4065600,4244000,25640000
1988-02-04,1412800,486400,888400,1302100,4688800,4299200,4187200,52810000
1988-02-05,2059200,25600,1044400,871600,2992800,3971200,1362400,21080000
1988-02-08,1027200,512000,450800,836100,3683200,4625600,4374400,14550000
1988-02-09,902400,659200,450800,485600,5634400,4091200,2923200,14960000
1988-02-10,2494400,3075200,389200,985000,5380800,4235200,4095200,27570000
1988-02-11,1590400,2304000,1345600,703900,6712800,2468800,2222400,19400000
1988-02-12,979200,691200,1162000,795100,5610400,4827200,3529600,16550000
